[przedział czasu] || [nr procesu]
[0-1] || 9
[1-2] || 9
[2-3] || 9
[3-4] || 9
[4-5] || 10
[5-6] || 10
[6-7] || 10
[7-8] || 10
[8-9] || 10
[9-10] || 6
[10-11] || 6
[11-12] || 5
[12-13] || 5
[13-14] || 5
[14-15] || 5
[15-16] || 5
[16-17] || 2
[17-18] || 2
[18-19] || 2
[19-20] || 3
[20-21] || 3
[21-22] || 3
[22-23] || 3
[23-24] || 4
[24-25] || 4
[25-26] || 4
[26-27] || 4
[27-28] || 4
[28-29] || 4
[29-30] || 4
[30-31] || 4
[31-32] || 7
[32-33] || 8
[33-34] || 8
[34-35] || 8
[35-36] || 1
[36-37] || 1
Czas oczekiwania poszczególnych procesów: [17, 8, 10, 12, 8, 7, 17, 15, 0, 3]
Średni czas oczekiwania: 9.7
