[przedział czasu] || [nr procesu]
[0-1] || 9
[1-2] || 9
[2-3] || 9
[3-4] || 9
[4-5] || 6
[5-6] || 6
[6-7] || 10
[7-8] || 10
[8-9] || 10
[9-10] || 10
[10-11] || 10
[11-12] || 2
[12-13] || 2
[13-14] || 2
[14-15] || 7
[15-16] || 3
[16-17] || 3
[17-18] || 3
[18-19] || 3
[19-20] || 1
[20-21] || 1
[21-22] || 8
[22-23] || 8
[23-24] || 8
[24-25] || 5
[25-26] || 5
[26-27] || 5
[27-28] || 5
[28-29] || 5
[29-30] || 4
[30-31] || 4
[31-32] || 4
[32-33] || 4
[33-34] || 4
[34-35] || 4
[35-36] || 4
[36-37] || 4
Czas oczekiwania poszczególnych procesów: [1, 3, 6, 18, 21, 2, 0, 4, 0, 5]
Średni czas oczekiwania: 6.0
