[kolejka procesów] # [priorytety]
[przedział czasu] || [nr procesu]
[0-1] || 9
[1-2] || 10
[2-3] || 10
[3-4] || 10
[4-5] || 10
[5-6] || 10
[6-7] || 9
[7-8] || 9
[8-9] || 9
[9-10] || 5
[10-11] || 5
[11-12] || 5
[12-13] || 5
[13-14] || 5
[14-15] || 2
[15-16] || 2
[16-17] || 2
[17-18] || 3
[18-19] || 3
[19-20] || 6
[20-21] || 6
[21-22] || 3
[22-23] || 3
[23-24] || 4
[24-25] || 4
[25-26] || 4
[26-27] || 4
[27-28] || 4
[28-29] || 4
[29-30] || 4
[30-31] || 4
[31-32] || 7
[32-33] || 8
[33-34] || 8
[34-35] || 8
[35-36] || 1
[36-37] || 1
Czas oczekiwania poszczególnych procesów: [17, 6, 10, 12, 6, 17, 17, 15, 5, 0]
Średni czas oczekiwania: 10.5
